id_konten,judul,mata_kuliah,platform,format,durasi,kesulitan,rating_pengguna
KNT001,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Coursera,Artikel,81,Mudah,3.21
KNT002,Konsep Kernel dan Sistem File,Sistem Operasi,Medium,PDF,85,Sulit,2.94
KNT003,Graph dan Tree dalam Matdis,Matematika Diskrit,Coursera,Slide,104,Sulit,4.38
KNT004,Dasar-dasar Sistem Operasi,Sistem Operasi,YouTube,Course,32,Sedang,4.52
KNT005,Belajar Pemrograman dari Nol,Pemrograman Dasar,Modul Kampus,Artikel,90,Mudah,4.98
KNT006,Konten Pembelajaran Informatika,Statistik,Medium,Video,96,Mudah,3.53
KNT007,Konten Pembelajaran Informatika,Statistik,Modul Kampus,Course,64,Sulit,3.43
KNT008,Penerapan Logika Matematika,Matematika Diskrit,Medium,Artikel,81,Sulit,4.44
KNT009,Pengenalan Basis Data Relasional,Basis Data,Coursera,Slide,73,Sedang,3.35
KNT010,Manajemen Proses dan Memori OS,Sistem Operasi,Medium,Course,16,Sulit,4.83
KNT011,Konten Pembelajaran Informatika,Statistik,Medium,Artikel,54,Sedang,4.65
KNT012,Penerapan Logika Matematika,Matematika Diskrit,YouTube,Video,92,Mudah,3.57
KNT013,CRUD pada Sistem Basis Data,Basis Data,Dicoding,Course,95,Sulit,4.38
KNT014,Percabangan dan Perulangan Dasar,Pemrograman Dasar,YouTube,Course,58,Sulit,4.39
KNT015,Dasar SQL dan Relasi Tabel,Basis Data,Modul Kampus,PDF,110,Sulit,2.76
KNT016,Belajar Pemrograman dari Nol,Pemrograman Dasar,Coursera,Artikel,77,Sedang,4.76
KNT017,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Coursera,Artikel,50,Mudah,3.76
KNT018,CRUD pada Sistem Basis Data,Basis Data,Medium,PDF,99,Mudah,4.57
KNT019,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Coursera,Slide,63,Mudah,3.3
KNT020,Dasar Struktur Pemrograman,Pemrograman Dasar,Dicoding,Slide,62,Sulit,4.74
KNT021,Konten Pembelajaran Informatika,Statistik,Dicoding,PDF,29,Mudah,3.47
KNT022,Konten Pembelajaran Informatika,Statistik,Medium,Course,48,Mudah,2.53
KNT023,Dasar Struktur Pemrograman,Pemrograman Dasar,Medium,Video,58,Mudah,4.76
KNT024,Interupsi dan Deadlock OS,Sistem Operasi,Modul Kampus,Slide,33,Sulit,2.73
KNT025,Dasar-dasar Sistem Operasi,Sistem Operasi,Medium,Video,106,Sulit,3.3
KNT026,Konten Pembelajaran Informatika,Statistik,YouTube,Artikel,78,Sedang,4.88
KNT027,Konten Pembelajaran Informatika,Statistik,YouTube,Artikel,70,Sedang,4.88
KNT028,CRUD pada Sistem Basis Data,Basis Data,YouTube,Slide,40,Sedang,3.93
KNT029,Pengenalan Basis Data Relasional,Basis Data,Dicoding,Course,118,Sedang,4.08
KNT030,Konten Pembelajaran Informatika,Statistik,Coursera,Artikel,38,Mudah,3.62
KNT031,Dasar-dasar Sistem Operasi,Sistem Operasi,Modul Kampus,Video,48,Sedang,3.23
KNT032,CRUD pada Sistem Basis Data,Basis Data,Medium,Course,119,Sedang,3.32
KNT033,Percabangan dan Perulangan Dasar,Pemrograman Dasar,Modul Kampus,Slide,100,Sedang,4.18
KNT034,Normalisasi dan Desain Tabel,Basis Data,Dicoding,Artikel,28,Sulit,4.38
KNT035,Normalisasi dan Desain Tabel,Basis Data,Medium,Slide,113,Mudah,4.48
KNT036,Normalisasi dan Desain Tabel,Basis Data,Medium,Course,69,Sulit,4.47
KNT037,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Dicoding,Course,17,Mudah,2.73
KNT038,Dasar Struktur Pemrograman,Pemrograman Dasar,Coursera,Course,81,Sedang,3.74
KNT039,Konten Pembelajaran Informatika,Statistik,Medium,PDF,62,Sulit,2.64
KNT040,Dasar-dasar Sistem Operasi,Sistem Operasi,Coursera,PDF,63,Mudah,3.87
KNT041,Interupsi dan Deadlock OS,Sistem Operasi,Dicoding,Video,81,Sulit,3.6
KNT042,Konten Pembelajaran Informatika,Statistik,Modul Kampus,Course,77,Sulit,4.72
KNT043,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Medium,Course,27,Mudah,3.38
KNT044,Manajemen Proses dan Memori OS,Sistem Operasi,Coursera,Artikel,59,Mudah,2.79
KNT045,Dasar SQL dan Relasi Tabel,Basis Data,Medium,Video,41,Sedang,2.86
KNT046,Interupsi dan Deadlock OS,Sistem Operasi,Coursera,Video,42,Sedang,4.4
KNT047,Dasar Struktur Pemrograman,Pemrograman Dasar,Medium,Slide,36,Sedang,4.05
KNT048,Percabangan dan Perulangan Dasar,Pemrograman Dasar,Medium,Course,52,Sulit,2.75
KNT049,Konten Pembelajaran Informatika,Statistik,Medium,Artikel,92,Sedang,2.71
KNT050,Graph dan Tree dalam Matdis,Matematika Diskrit,Modul Kampus,Slide,20,Mudah,4.25
KNT051,Pengenalan Logika dan Himpunan,Matematika Diskrit,Medium,PDF,67,Sulit,2.68
KNT052,Interupsi dan Deadlock OS,Sistem Operasi,Coursera,Course,118,Mudah,4.55
KNT053,Pengenalan Logika dan Himpunan,Matematika Diskrit,Modul Kampus,Video,57,Sulit,4.27
KNT054,Konsep Dasar Matematika Diskrit,Matematika Diskrit,YouTube,Course,21,Mudah,2.7
KNT055,Simulasi Penjadwalan Proses,Sistem Operasi,Coursera,Course,78,Mudah,2.71
KNT056,Belajar Pemrograman dari Nol,Pemrograman Dasar,Coursera,PDF,102,Sedang,4.97
KNT057,Pengenalan Basis Data Relasional,Basis Data,YouTube,Artikel,116,Sedang,3.44
KNT058,Konten Pembelajaran Informatika,Statistik,Modul Kampus,Artikel,34,Sulit,3.43
KNT059,Percabangan dan Perulangan Dasar,Pemrograman Dasar,Medium,Artikel,16,Sedang,4.53
KNT060,Konsep Dasar Matematika Diskrit,Matematika Diskrit,Coursera,Slide,44,Sulit,4.87
KNT061,Penerapan Logika Matematika,Matematika Diskrit,YouTube,Artikel,58,Mudah,4.97
KNT062,Interupsi dan Deadlock OS,Sistem Operasi,Medium,Slide,96,Sulit,4.38
KNT063,Konten Pembelajaran Informatika,Statistik,Modul Kampus,PDF,87,Mudah,3.44
KNT064,CRUD pada Sistem Basis Data,Basis Data,Coursera,Course,87,Mudah,2.71
KNT065,Simulasi Penjadwalan Proses,Sistem Operasi,Medium,Slide,15,Mudah,4.44
KNT066,Interupsi dan Deadlock OS,Sistem Operasi,Medium,PDF,19,Sulit,3.9
KNT067,Pengenalan Basis Data Relasional,Basis Data,Dicoding,Slide,34,Sulit,3.56
KNT068,Dasar SQL dan Relasi Tabel,Basis Data,YouTube,PDF,112,Sedang,4.77
KNT069,Konsep Dasar Matematika Diskrit,Matematika Diskrit,Medium,Artikel,107,Sedang,2.78
KNT070,Dasar-dasar Sistem Operasi,Sistem Operasi,Modul Kampus,Artikel,85,Mudah,3.73
KNT071,Tutorial Variabel dan Tipe Data,Pemrograman Dasar,Dicoding,PDF,102,Mudah,2.53
KNT072,Belajar Pemrograman dari Nol,Pemrograman Dasar,Medium,Video,95,Sulit,3.67
KNT073,Simulasi Penjadwalan Proses,Sistem Operasi,Medium,PDF,81,Sedang,2.64
KNT074,Pengenalan Basis Data Relasional,Basis Data,Modul Kampus,Slide,37,Sulit,2.8
KNT075,Konten Pembelajaran Informatika,Statistik,Dicoding,PDF,71,Sulit,2.79
KNT076,Dasar SQL dan Relasi Tabel,Basis Data,Dicoding,Course,36,Sulit,4.12
KNT077,Pengenalan Basis Data Relasional,Basis Data,YouTube,Video,52,Mudah,4.37
KNT078,Konten Pembelajaran Informatika,Statistik,Medium,PDF,48,Mudah,3.96
KNT079,CRUD pada Sistem Basis Data,Basis Data,YouTube,Video,11,Sedang,4.91
KNT080,Konten Pembelajaran Informatika,Statistik,Dicoding,Video,37,Mudah,3.44
KNT081,Konsep Kernel dan Sistem File,Sistem Operasi,YouTube,PDF,34,Mudah,3.21
KNT082,Konten Pembelajaran Informatika,Statistik,Modul Kampus,PDF,104,Sulit,4.67
KNT083,Belajar Pemrograman dari Nol,Pemrograman Dasar,Coursera,Artikel,25,Mudah,3.06
KNT084,Konten Pembelajaran Informatika,Statistik,Modul Kampus,PDF,105,Sulit,4.91
KNT085,CRUD pada Sistem Basis Data,Basis Data,Dicoding,PDF,106,Sedang,2.53
KNT086,Interupsi dan Deadlock OS,Sistem Operasi,Modul Kampus,Artikel,71,Mudah,4.92
KNT087,Konten Pembelajaran Informatika,Statistik,Dicoding,Artikel,41,Sedang,2.61
KNT088,Query Dasar hingga Lanjutan,Basis Data,Modul Kampus,Course,99,Mudah,4.73
KNT089,Konten Pembelajaran Informatika,Statistik,Medium,PDF,87,Sulit,3.82
KNT090,Interupsi dan Deadlock OS,Sistem Operasi,Medium,Slide,100,Mudah,4.98
KNT091,Dasar-dasar Sistem Operasi,Sistem Operasi,Modul Kampus,Video,36,Sulit,2.68
KNT092,Logika Dasar Pemrograman,Pemrograman Dasar,YouTube,Artikel,60,Sedang,3.88
KNT093,Dasar-dasar Sistem Operasi,Sistem Operasi,Dicoding,PDF,40,Sulit,4.92
KNT094,CRUD pada Sistem Basis Data,Basis Data,Medium,Slide,80,Sulit,3.81
KNT095,Dasar-dasar Sistem Operasi,Sistem Operasi,Dicoding,Video,51,Sedang,4.07
KNT096,Manajemen Proses dan Memori OS,Sistem Operasi,Medium,PDF,109,Sedang,4.24
KNT097,Pengenalan Basis Data Relasional,Basis Data,Coursera,Slide,46,Sulit,3.64
KNT098,Pengenalan Basis Data Relasional,Basis Data,Modul Kampus,Video,58,Mudah,4.07
KNT099,Simulasi Penjadwalan Proses,Sistem Operasi,Medium,Slide,69,Sulit,3.96
KNT100,Manajemen Proses dan Memori OS,Sistem Operasi,Modul Kampus,Artikel,78,Sulit,4.75
KNT101,Konten Pembelajaran Informatika,Statistik,Coursera,PDF,93,Mudah,2.61
KNT102,Konsep Kernel dan Sistem File,Sistem Operasi,Dicoding,Slide,55,Sulit,3.2
KNT103,Dasar Struktur Pemrograman,Pemrograman Dasar,Modul Kampus,Slide,49,Sulit,4.88
KNT104,Logika Dasar Pemrograman,Pemrograman Dasar,Medium,PDF,43,Sedang,4.73
KNT105,Dasar Struktur Pemrograman,Pemrograman Dasar,Coursera,Video,56,Mudah,3.64
KNT106,Belajar Pemrograman dari Nol,Pemrograman Dasar,Medium,PDF,75,Mudah,4.05
KNT107,Dasar-dasar Sistem Operasi,Sistem Operasi,Coursera,Slide,73,Sedang,3.19
KNT108,Konten Pembelajaran Informatika,Statistik,Coursera,Course,69,Mudah,2.97
KNT109,Normalisasi dan Desain Tabel,Basis Data,Medium,Video,22,Mudah,3.66
KNT110,Interupsi dan Deadlock OS,Sistem Operasi,Modul Kampus,Slide,112,Sedang,3.38
KNT111,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Dicoding,Course,102,Sulit,3.96
KNT112,Dasar-dasar Sistem Operasi,Sistem Operasi,Dicoding,Video,70,Sulit,2.69
KNT113,Dasar Struktur Pemrograman,Pemrograman Dasar,Coursera,Artikel,107,Sulit,4.94
KNT114,Pengenalan Logika dan Himpunan,Matematika Diskrit,Medium,PDF,117,Sedang,4.97
KNT115,Manajemen Proses dan Memori OS,Sistem Operasi,Coursera,Video,50,Sedang,4.25
KNT116,Konten Pembelajaran Informatika,Statistik,Dicoding,Video,36,Mudah,3.84
KNT117,Konten Pembelajaran Informatika,Statistik,Coursera,Slide,57,Sulit,3.27
KNT118,Pengenalan Logika dan Himpunan,Matematika Diskrit,Coursera,Course,50,Sedang,4.53
KNT119,Normalisasi dan Desain Tabel,Basis Data,Dicoding,Video,62,Sedang,4.21
KNT120,Pengenalan Logika dan Himpunan,Matematika Diskrit,Modul Kampus,PDF,15,Sedang,2.91
KNT121,Konten Pembelajaran Informatika,Statistik,Coursera,Video,82,Mudah,4.78
KNT122,Graph dan Tree dalam Matdis,Matematika Diskrit,Modul Kampus,Video,120,Sedang,4.56
KNT123,Logika Dasar Pemrograman,Pemrograman Dasar,Coursera,Slide,38,Sulit,4.87
KNT124,Belajar Pemrograman dari Nol,Pemrograman Dasar,Medium,Video,104,Sedang,4.31
KNT125,Normalisasi dan Desain Tabel,Basis Data,Coursera,Course,28,Sedang,4.03
KNT126,Konsep Dasar Matematika Diskrit,Matematika Diskrit,Coursera,Slide,12,Mudah,3.55
KNT127,Graph dan Tree dalam Matdis,Matematika Diskrit,YouTube,Artikel,43,Sulit,4.83
KNT128,Pengenalan Logika dan Himpunan,Matematika Diskrit,Medium,Artikel,80,Sulit,4.67
KNT129,Graph dan Tree dalam Matdis,Matematika Diskrit,Medium,Slide,84,Sulit,2.61
KNT130,Normalisasi dan Desain Tabel,Basis Data,Modul Kampus,Course,84,Sedang,2.57
KNT131,Konten Pembelajaran Informatika,Statistik,Modul Kampus,Slide,102,Mudah,3.44
KNT132,Simulasi Penjadwalan Proses,Sistem Operasi,Coursera,Slide,63,Sulit,4.53
KNT133,Normalisasi dan Desain Tabel,Basis Data,Dicoding,Slide,47,Sedang,4.97
KNT134,Konten Pembelajaran Informatika,Statistik,Coursera,Slide,29,Mudah,2.88
KNT135,Konten Pembelajaran Informatika,Statistik,YouTube,Video,35,Sulit,3.99
KNT136,Konten Pembelajaran Informatika,Statistik,Coursera,PDF,52,Mudah,3.45
KNT137,Konsep Dasar Matematika Diskrit,Matematika Diskrit,YouTube,Artikel,39,Mudah,4.92
KNT138,Normalisasi dan Desain Tabel,Basis Data,Coursera,Course,58,Sedang,4.61
KNT139,Konten Pembelajaran Informatika,Statistik,Modul Kampus,Video,82,Mudah,4.6
KNT140,Manajemen Proses dan Memori OS,Sistem Operasi,Coursera,Artikel,116,Sedang,3.67
KNT141,Konsep Kernel dan Sistem File,Sistem Operasi,Modul Kampus,PDF,41,Sulit,3.54
KNT142,Tutorial Variabel dan Tipe Data,Pemrograman Dasar,Dicoding,Slide,73,Sulit,3.18
KNT143,Konten Pembelajaran Informatika,Statistik,Dicoding,PDF,80,Mudah,2.64
KNT144,Query Dasar hingga Lanjutan,Basis Data,Medium,Artikel,93,Sulit,4.66
KNT145,Pengenalan Logika dan Himpunan,Matematika Diskrit,Coursera,Artikel,97,Sedang,4.53
KNT146,Belajar Pemrograman dari Nol,Pemrograman Dasar,Medium,Video,53,Sedang,5.0
KNT147,Konten Pembelajaran Informatika,Statistik,Coursera,Video,42,Sedang,4.99
KNT148,Penerapan Logika Matematika,Matematika Diskrit,Dicoding,Course,107,Mudah,3.89
KNT149,Pengenalan Basis Data Relasional,Basis Data,YouTube,Slide,115,Mudah,4.42
KNT150,Query Dasar hingga Lanjutan,Basis Data,Medium,PDF,72,Mudah,4.86
KNT151,Tutorial Variabel dan Tipe Data,Pemrograman Dasar,Medium,Slide,102,Sedang,4.62
KNT152,Dasar Struktur Pemrograman,Pemrograman Dasar,Dicoding,PDF,92,Sedang,3.12
KNT153,Konten Pembelajaran Informatika,Statistik,Dicoding,Slide,104,Sedang,3.63
KNT154,Penerapan Logika Matematika,Matematika Diskrit,YouTube,Artikel,72,Sedang,2.82
KNT155,Konsep Kernel dan Sistem File,Sistem Operasi,Medium,Artikel,68,Mudah,4.89
KNT156,Pengenalan Logika dan Himpunan,Matematika Diskrit,Dicoding,Slide,31,Mudah,4.02
KNT157,CRUD pada Sistem Basis Data,Basis Data,Dicoding,Course,103,Mudah,3.07
KNT158,Normalisasi dan Desain Tabel,Basis Data,YouTube,Artikel,111,Mudah,4.18
KNT159,Konten Pembelajaran Informatika,Statistik,YouTube,Course,55,Sedang,4.05
KNT160,Interupsi dan Deadlock OS,Sistem Operasi,Modul Kampus,Artikel,31,Sedang,3.4
KNT161,Konten Pembelajaran Informatika,Statistik,Coursera,Video,27,Sulit,2.78
KNT162,Normalisasi dan Desain Tabel,Basis Data,Modul Kampus,Video,102,Sulit,4.18
KNT163,Pengenalan Basis Data Relasional,Basis Data,YouTube,Slide,79,Sulit,3.8
KNT164,Pengenalan Logika dan Himpunan,Matematika Diskrit,Dicoding,PDF,72,Sedang,4.43
KNT165,Dasar-dasar Sistem Operasi,Sistem Operasi,YouTube,Video,33,Mudah,3.8
KNT166,Konsep Dasar Matematika Diskrit,Matematika Diskrit,Medium,Artikel,79,Mudah,4.63
KNT167,Graph dan Tree dalam Matdis,Matematika Diskrit,Dicoding,Artikel,92,Mudah,3.88
KNT168,Konten Pembelajaran Informatika,Statistik,Modul Kampus,Video,17,Sedang,3.9
KNT169,Graph dan Tree dalam Matdis,Matematika Diskrit,Modul Kampus,Video,77,Sulit,4.69
KNT170,Dasar Struktur Pemrograman,Pemrograman Dasar,Modul Kampus,PDF,14,Mudah,3.51
KNT171,Logika Dasar Pemrograman,Pemrograman Dasar,Dicoding,Video,117,Sulit,2.84
KNT172,Penerapan Logika Matematika,Matematika Diskrit,Coursera,Slide,118,Sulit,2.57
KNT173,Simulasi Penjadwalan Proses,Sistem Operasi,Coursera,PDF,19,Sedang,4.39
KNT174,Graph dan Tree dalam Matdis,Matematika Diskrit,Coursera,Video,114,Sedang,4.05
KNT175,Query Dasar hingga Lanjutan,Basis Data,YouTube,Artikel,95,Mudah,4.26
KNT176,Dasar SQL dan Relasi Tabel,Basis Data,YouTube,Video,16,Sedang,3.03
KNT177,Interupsi dan Deadlock OS,Sistem Operasi,Medium,Slide,107,Sedang,2.84
KNT178,Konten Pembelajaran Informatika,Statistik,Dicoding,Slide,10,Sedang,2.54
KNT179,Belajar Pemrograman dari Nol,Pemrograman Dasar,Medium,Artikel,62,Mudah,3.38
KNT180,Logika Dasar Pemrograman,Pemrograman Dasar,YouTube,PDF,27,Sulit,3.97
KNT181,Konten Pembelajaran Informatika,Statistik,Dicoding,Artikel,117,Sulit,3.48
KNT182,Graph dan Tree dalam Matdis,Matematika Diskrit,Modul Kampus,Video,90,Mudah,3.59
KNT183,Manajemen Proses dan Memori OS,Sistem Operasi,Dicoding,Artikel,39,Sulit,4.76
KNT184,Graph dan Tree dalam Matdis,Matematika Diskrit,YouTube,PDF,18,Sulit,3.37
KNT185,Konten Pembelajaran Informatika,Statistik,Modul Kampus,Course,100,Mudah,3.78
KNT186,Interupsi dan Deadlock OS,Sistem Operasi,Modul Kampus,Artikel,29,Sulit,4.46
KNT187,Belajar Pemrograman dari Nol,Pemrograman Dasar,Dicoding,PDF,11,Sedang,3.49
KNT188,Logika Dasar Pemrograman,Pemrograman Dasar,Coursera,Course,37,Mudah,4.06
KNT189,Penerapan Logika Matematika,Matematika Diskrit,YouTube,PDF,74,Mudah,4.66
KNT190,Normalisasi dan Desain Tabel,Basis Data,YouTube,PDF,68,Sedang,4.87
KNT191,Konten Pembelajaran Informatika,Statistik,Coursera,Course,57,Sedang,2.87
KNT192,Konten Pembelajaran Informatika,Statistik,Medium,Artikel,17,Sedang,4.82
KNT193,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Medium,Course,89,Sedang,3.73
KNT194,Konten Pembelajaran Informatika,Statistik,YouTube,Artikel,91,Mudah,3.15
KNT195,Logika Dasar Pemrograman,Pemrograman Dasar,Coursera,PDF,95,Mudah,3.65
KNT196,Latihan Soal Matdis untuk Pemula,Matematika Diskrit,Coursera,Artikel,88,Mudah,4.95
KNT197,Dasar Struktur Pemrograman,Pemrograman Dasar,Modul Kampus,Slide,71,Sedang,3.73
KNT198,Manajemen Proses dan Memori OS,Sistem Operasi,Medium,Course,94,Sedang,3.32
KNT199,Interupsi dan Deadlock OS,Sistem Operasi,Medium,Course,72,Sedang,4.08
KNT200,Query Dasar hingga Lanjutan,Basis Data,Modul Kampus,Video,12,Sedang,3.1
